Gen,Best_Fit,Avg_Fit,Std_Dev_Fit
76,3438.5877627719565,3253.6163311191563,156.64286056473694
77,4008.845593773519,3233.691719333281,212.07861322835217
78,3427.7324395863657,3228.065239019127,154.1196056753261
79,3435.722535274748,3239.965919106162,183.92220676173034
80,3440.704743824311,3255.3806235645734,148.10140270456202
81,3442.402147060346,3237.396878339781,160.58623298391683
82,3442.667404969578,3249.4139834426765,179.5574035872096
83,3933.044976934717,3282.6354782138387,165.25687353578152
84,3441.307150235284,3221.9791374196343,194.37307034018025
85,3864.2569214351856,3275.8458638416328,171.502136166138
86,3447.4961807902746,3206.378947486319,192.01401803098886
87,3450.4867231395447,3222.462954063011,188.23978593198558
88,3443.715514164986,3199.478332624759,216.96551504091224
89,3439.7589071144357,3259.342840882149,179.9136880419448
90,3440.6189188481953,3252.444871314203,196.68835121301345
91,3445.8747080134267,3211.926626660186,220.57683716679065
92,3457.087717911808,3240.544126363505,195.49562035179886
93,3437.901670961166,3233.804007724397,177.949902902079
94,3447.3088045470286,3223.9462900582234,185.30826635481654
95,4126.04043813488,3281.1275775121862,245.12957095054847
96,3438.485923766729,3230.77518617505,183.0962519352892
97,3449.2730890119565,3249.508435897296,182.6303136722151
98,3442.990755122303,3249.5926276019836,193.56692421086407
99,4202.67003603849,3256.330175464029,241.4877862943528
100,4239.997168392046,3284.9256633451373,267.21028556629295
101,3571.0687392706213,3250.400689731862,175.84491266782055
102,3516.6678766186474,3241.211272366316,182.1709697301709
103,3446.791153418393,3274.5634818463463,174.66795900719882
104,3875.9244904403467,3174.9201583066715,243.38901604603782
105,3437.330541045842,3233.0549632917787,148.27168865484833
106,3447.197475262788,3226.022639948482,192.01835830073128
107,3441.2357295892675,3262.3252393402113,183.06791390786987
108,3442.1449052352264,3226.921217207552,209.99034790309508
109,3449.8506664522997,3213.177679888575,196.10664245812555
110,3949.253646787865,3241.776141943843,213.43478852547275
111,4176.929342335399,3257.637325354773,254.1597497111082
112,3446.1806196978323,3249.8723547561362,228.89826480519966
113,3442.057758470651,3252.076491463898,185.42000392080476
114,3445.7780425959763,3264.0154354099154,155.99942571845995
115,3442.181325653218,3238.846230938875,171.64655104824644
116,3454.4098183260967,3280.362582427795,181.14293968396282
117,3445.026742582818,3286.252854133694,144.94982840128782
118,3441.9547955391795,3189.6268369430354,236.6118237933372
119,3447.180088515457,3214.452395951608,215.6131852044284
120,3441.54982060856,3244.9951175278866,173.77557430038084
121,3452.5546439885475,3196.4427052965166,256.32956905515226
122,3439.009057751854,3241.5681480151625,165.61535639425628
123,4215.240970652178,3296.644815978339,281.6516935173714
124,3442.789837544397,3240.8202873322216,174.38853303313257
125,4218.097416638426,3275.8107110822502,217.76789611768697
126,3444.4847941712856,3287.8454776121666,173.4008510514586
127,3451.8794682138277,3214.784187784686,220.12874033965772
128,3449.095913326169,3287.686604973422,133.85135659654009
129,3454.018399079474,3272.0549572264713,156.49542804683554
130,3443.7072686239744,3229.9709558731993,189.8582694104324
131,3454.737524980779,3213.671201131751,208.17189436542608
132,3461.6811004202477,3227.413079692406,178.34043473414687
133,3444.9735762524833,3242.7609485457583,194.6418844115389
134,3445.6743944920036,3270.1883640064584,166.83755382251863
135,3439.450200840032,3230.526658135865,219.6143726649105
136,3441.248368156783,3228.349770868012,200.50140916962403
137,3526.3957330206913,3258.1160024589567,202.27634097708298
138,3444.8986421037066,3189.867591959372,203.3068465428878
139,3448.098082389597,3203.879256285089,210.11371176795328
140,3585.6673872137444,3271.248118028796,191.3553973971074
141,3440.812083903678,3209.513244499542,210.3008404836325
142,3450.2637068689155,3212.3985991553614,196.03527011660498
143,3446.6026950483506,3219.8632274971374,205.58039071469648
144,3450.5365143139375,3230.2453998293417,203.4834057150207
145,3446.044210317953,3238.5724273112983,208.87209025766143
146,3438.811677488877,3221.2760468020188,225.35760269260328
147,3450.8009779636177,3257.872638442697,178.1796646727888
148,3901.5737664622466,3243.097084488222,208.45856410278554
149,3450.1741365676403,3232.405595900606,190.34056668842612
150,3813.135842919223,3206.5074341778427,217.8532769073427
151,3444.834049035272,3219.413667272579,166.1507029722099
