Gen,Best_Fitness,Avg_Fitness,KP_BALANCE,KD_BALANCE,KP_FORWARD,KD_FORWARD,KP_TURNING,KD_TURNING,IMPULSE_DURATION_SEC,IMPULSE_MAGNITUDE,TURNING_SPEED,KP_RECOVERY,KD_RECOVERY,KP_POSITION,TARGET_TILT,RECOVERY_THRESHOLD,LERP_ALPHA,KI_BALANCE
10,504.9515721227532,422.88034416622475,57.66613235687023,0.035355261035279265,52.52930470538691,1.698619535717606,5.0,1.1920965024238426,0.26418203709617455,0.5747825757104628,4.809261006434557,31.40297352738853,2.2800477804248094,1.0818076884327832,-0.130028179383837,0.04769314930623479,0.5835573955573397,11.967210857909706
11,518.2955533865003,432.45915776794806,42.09142319346577,0.016878603078149538,51.32926597243155,2.5,16.825959014711486,1.3126968485767534,0.8160530340111042,-2.496698413100411,5.0,36.792839265956694,1.1515912060986617,0.8221806203691799,-0.1426050481680612,0.03414798938914147,0.8,6.619104349690898
12,515.4437182705935,434.9899960117187,52.87349276970512,0.07978905650043858,57.271157148271314,2.5,5.0,1.1599738211138844,0.534767420603087,3.9244665438759836,5.0,60.726570044066264,1.3766415538296022,0.9762793421782758,-0.14460402479565584,0.03832738112013744,0.6247688864337383,7.873225593371699
13,515.3941719301367,433.8067771560793,41.84857349913724,0.011675762289697713,54.03619162165577,2.2371369207300322,5.0,1.0648220991828004,0.23251844553054127,1.882150022711142,5.0,23.648565918172977,1.2915949971627485,1.0482306705975386,-0.1468306362241314,0.043927990476268094,0.7361318696053869,7.149506830514375
14,514.097369682315,428.62733961013805,53.190977563439326,0.015106667813986797,53.97857986242151,2.333683910550105,28.23729492759591,1.289002848126252,1.0,0.8293915250205476,4.999089508321703,10.700528654395878,1.030272601587642,0.9129637149724843,-0.1432841895715816,0.02868047332952227,0.8,9.480081028692162
15,516.1620098615892,428.3272028569531,60.0,0.03328016723492817,55.17033587430594,2.5,60.0,1.120803263138983,0.8033379209030079,2.1377237655823933,4.925157353655879,13.284351180126325,2.0316108340617447,0.6479974488262653,-0.14447404877435854,0.036896428699974976,0.4104379216125996,9.061125580123457
16,508.16951922526357,428.2493834939132,48.93191003034101,0.13702706266167408,60.0,2.5,41.609337727248516,1.3098680528650306,0.3276750549911807,-1.8809639488096803,4.852086688594041,20.90196854817623,3.6126231002690976,1.400430397717948,-0.14506504496012831,0.04198840857912738,0.4823717261410465,9.743446853595017
17,512.7398828409589,424.07598058476077,32.690035891194746,0.0703132323739254,52.27183776461741,2.338448345622619,5.0,1.128755585849842,0.7205887687117642,1.7098029136971644,4.9935733508300455,29.21771956461285,0.5442468524063341,0.8987870525337699,-0.14052581851686494,0.027371988585579207,0.5875031709690498,13.710624571572177
18,514.2350988808018,433.9035611873997,43.13631448485934,0.08624580172442008,50.32212383699264,2.481258087997297,19.261593630814204,0.8879115344800887,0.7866779264419933,-2.2942296967861098,5.0,11.299586047588184,1.4924241371325775,0.7793490267370485,-0.14823748632677108,0.02,0.5430784330719359,9.490621627066101
19,514.5301719687967,427.0728653655153,39.77224266985386,0.07691789182660883,55.721165698252975,2.2535321029261044,41.38620605140667,1.1539407038606604,0.6674946586154827,-0.07842272658500093,4.999654084436463,33.70343814757999,0.18067643404254713,0.5614521267299425,-0.1352581674738615,0.03091974446580636,0.5788011555424735,8.311818853902107
20,510.1223754753655,428.73121271235095,36.35024510595904,0.02307697863625092,53.29781663783524,2.1240619164135297,60.0,1.1065723306875899,0.4087579004747956,2.6914735620169874,4.992158485730081,23.83234464868236,1.0271269609803406,0.1,-0.14081753369902386,0.03100286501364252,0.6019165416081436,13.43058500066987
21,518.8145145848291,425.9833576900185,46.30534840365529,0.0,55.81564063163998,2.4538685571561074,60.0,0.6848275243652477,0.697082996023806,1.4414005884587002,5.0,38.480809133341765,2.66947078288006,1.298254720281441,-0.13820901368214822,0.04362051081776807,0.7289143759460955,6.966788822152188
22,515.7569313306692,429.106434765954,39.337395182163746,0.021164684764276406,55.119428845228285,2.4656124270890656,41.90566400139599,1.1385178982219815,0.9414661842048586,4.682512169877643,4.763968250694726,62.6687985167701,0.5498200236364492,1.0972705375664649,-0.15,0.03591140793068222,0.7476398467646671,8.008752711009873
23,518.2381414609345,429.4174417139857,47.133964251880776,0.0121874533702813,55.228030449396755,2.3176901207776948,12.217938502199528,0.2994853371787675,0.716031964165315,2.1620584930683915,4.943180931777384,20.63177132419337,1.8929548156535154,1.2744790628925238,-0.14091795815204478,0.04964408025427763,0.6310949028932673,5.8376873100288345
24,516.1676591935476,429.82908573149575,39.575056913115866,0.0,54.565880370092664,2.4961265377990656,43.220319849092476,1.636039066781677,0.6012693842116941,2.9946171376098216,4.836973304597029,43.140120125432155,1.8511966240211646,1.4857475264857,-0.14430599673527586,0.06090372151414067,0.5843901030489044,7.751821194022152
25,522.3398208465203,430.73627947679984,44.127964987609815,0.0,54.565880370092664,2.4961265377990656,43.220319849092476,1.636039066781677,0.546908423049426,2.9946171376098216,4.836973304597029,46.69178900170961,2.191362344681995,1.4857475264857,-0.14430599673527586,0.06090372151414067,0.5882507418394233,7.751821194022152
26,514.2597577956635,438.28814184847573,40.15953017932089,0.0,54.65535509106243,2.5,42.8124456256827,1.8419925800987729,0.3743728840536256,2.9535008365711075,5.0,44.263590834774405,0.9136055912447278,1.490214870996691,-0.15,0.03904647164958215,0.5699549593137703,6.391593607763655
27,514.5354350351568,429.5752487492029,39.372336016282105,0.010375493447895472,60.0,2.48196976209468,27.214664999433676,0.558595796153184,0.7499651227544617,2.18019373555217,4.904293942559512,40.71793549069571,2.0687179608807593,1.1648505606664274,-0.14464366359366318,0.057276860873114566,0.7101594818047552,11.657485385918662
28,518.2875543467378,425.5128930669836,40.229446592105056,0.0,57.339966421912884,2.5,34.31880246338514,0.8106387102156353,0.4660435736912551,2.5839154057613523,4.94896144118366,47.77174342340957,0.0,1.6290832305901959,-0.15,0.041032932814354175,0.4842356465766353,5.9219524158105825
29,518.6747551965914,432.87294775557586,40.19855672049612,0.0,60.0,2.5,38.524212850364535,1.6270983692815915,0.39318542137255363,2.39458480035855,4.946726598729903,48.547242709980274,0.0,1.368981500671423,-0.15,0.046020015465530646,0.5180620227193519,6.136268495366773
